Grupo,Blastóporo origina ânus,Clivagem radial,Duplicação de genes Hox,Notocorda,Cérebro tripartido,Vértebras,Mandíbulas,Esqueleto ósseo,Nadadeiras lobadas,Membros com dígitos,Ovo amniótico,Escamas epidérmicas,Mandíbula com fenestra adicional,Penas,Glândulas mamárias
Protostomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deuterostomia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chordata,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Craniata,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Vertebrata,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Gnathostomata,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Osteichthyes,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Sarcopterygii,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Tetrapoda,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Amniota,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Sauropsida,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Diapsida,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Arcosauria,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Aves,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Mammalia,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
